Date : 2021-03-05 17:20:28
Directory : c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32
Total : 70 files,  15153 codes, 1938 comments, 2504 blanks, all 19595 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Pong.hpp                     | C++      |         14 |          0 |          8 |         22 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Shell.hpp                    | C++      |        150 |         44 |         69 |        263 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Simon.hpp                    | C++      |         45 |          0 |         24 |         69 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Software_Template.hpp        | C++      |         18 |          0 |          7 |         25 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Text Editor.hpp              | C++      |         34 |          0 |         17 |         51 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Tiny_Basic.hpp               | C++      |        266 |         52 |         80 |        398 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Xila.hpp                              | C++      |          6 |         79 |          4 |         89 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\platformio.ini                                | Ini      |         17 |         10 |          4 |         31 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Account.cpp                          | C++      |         95 |          1 |         13 |        109 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Clipboard.cpp                        | C++      |        115 |          0 |          7 |        122 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Core.cpp                             | C++      |        350 |         48 |         60 |        458 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Dialog.cpp                           | C++      |        161 |          9 |         61 |        231 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Instruction.cpp                      | C++      |          7 |          1 |          1 |          9 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Power.cpp                            | C++      |        344 |         29 |         86 |        459 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Registry.cpp                         | C++      |        354 |          1 |         36 |        391 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software.cpp                         | C++      |         46 |          1 |         11 |         58 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software_Handle.cpp                  | C++      |         41 |          2 |          7 |         50 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software_Management.cpp              | C++      |        201 |         12 |         35 |        248 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Task.cpp                             | C++      |         40 |          1 |         11 |         52 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Task_Management.cpp                  | C++      |         25 |          0 |          6 |         31 |
| c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Virtual_Memory.cpp                   | C++      |          0 |        372 |          2 |        374 |
