"filename", "language", "C++", "Ini", "Markdown", "comment", "blank", "total"
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-10-21_21-42-23\details.md", "Markdown", 0, 0, 49, 0, 6, 55
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-10-21_21-42-23\results.md", "Markdown", 0, 0, 18, 0, 7, 25
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-12-22_20-20-52\details.md", "Markdown", 0, 0, 61, 0, 6, 67
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2020-12-22_20-20-52\results.md", "Markdown", 0, 0, 21, 0, 7, 28
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-17_23-19-49\details.md", "Markdown", 0, 0, 74, 0, 6, 80
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-17_23-19-49\results.md", "Markdown", 0, 0, 29, 0, 7, 36
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-26_20-48-21\details.md", "Markdown", 0, 0, 118, 0, 6, 124
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\.VSCodeCounter\2021-02-26_20-48-21\results.md", "Markdown", 0, 0, 69, 0, 7, 76
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Configuration.hpp", "C++", 52, 0, 0, 18, 33, 103
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Core.hpp", "C++", 297, 0, 0, 196, 132, 625
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Instruction.hpp", "C++", 14, 0, 0, 0, 3, 17
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Path.hpp", "C++", 35, 0, 0, 0, 11, 46
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Software.hpp", "C++", 34, 0, 0, 1, 20, 55
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Core\Software_Handle.hpp", "C++", 29, 0, 0, 12, 16, 57
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Battery.hpp", "C++", 118, 0, 0, 19, 8, 145
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Display.hpp", "C++", 189, 0, 0, 26, 52, 267
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Keyboard.hpp", "C++", 170, 0, 0, 60, 23, 253
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Driver\Sound.hpp", "C++", 101, 0, 0, 27, 45, 173
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Calculator.hpp", "C++", 130, 0, 0, 11, 49, 190
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Clock.hpp", "C++", 74, 0, 0, 11, 33, 118
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Internet_Browser.hpp", "C++", 135, 0, 0, 22, 42, 199
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Music_Player.hpp", "C++", 52, 0, 0, 3, 24, 79
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Oscilloscope.hpp", "C++", 68, 0, 0, 25, 37, 130
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Paint.hpp", "C++", 19, 0, 0, 13, 12, 44
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Periodic.hpp", "C++", 28, 0, 0, 3, 17, 48
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Piano.hpp", "C++", 23, 0, 0, 0, 12, 35
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Picture_Viewer.hpp", "C++", 36, 0, 0, 0, 14, 50
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Pong.hpp", "C++", 14, 0, 0, 0, 8, 22
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Shell.hpp", "C++", 150, 0, 0, 44, 69, 263
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Simon.hpp", "C++", 45, 0, 0, 0, 24, 69
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Software_Template.hpp", "C++", 18, 0, 0, 0, 7, 25
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Text Editor.hpp", "C++", 34, 0, 0, 0, 17, 51
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Software\Tiny_Basic.hpp", "C++", 266, 0, 0, 52, 80, 398
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\include\Xila.hpp", "C++", 6, 0, 0, 79, 4, 89
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\platformio.ini", "Ini", 0, 17, 0, 10, 4, 31
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Account.cpp", "C++", 95, 0, 0, 1, 13, 109
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Clipboard.cpp", "C++", 115, 0, 0, 0, 7, 122
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Core.cpp", "C++", 350, 0, 0, 48, 60, 458
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Dialog.cpp", "C++", 161, 0, 0, 9, 61, 231
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Instruction.cpp", "C++", 7, 0, 0, 1, 1, 9
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Power.cpp", "C++", 344, 0, 0, 29, 86, 459
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Registry.cpp", "C++", 354, 0, 0, 1, 36, 391
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software.cpp", "C++", 46, 0, 0, 1, 11, 58
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software_Handle.cpp", "C++", 41, 0, 0, 2, 7, 50
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Software_Management.cpp", "C++", 201, 0, 0, 12, 35, 248
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Task.cpp", "C++", 40, 0, 0, 1, 11, 52
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Task_Management.cpp", "C++", 25, 0, 0, 0, 6, 31
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Core\Virtual_Memory.cpp", "C++", 0, 0, 0, 372, 2, 374
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Battery.cpp", "C++", 22, 0, 0, 20, 6, 48
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Display.cpp", "C++", 885, 0, 0, 23, 82, 990
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Keyboard.cpp", "C++", 541, 0, 0, 60, 34, 635
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Driver\Sound.cpp", "C++", 434, 0, 0, 109, 82, 625
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Main.cpp", "C++", 9, 0, 0, 12, 7, 28
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Clock.cpp", "C++", 663, 0, 0, 2, 40, 705
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Internet_Browser.cpp", "C++", 1157, 0, 0, 61, 162, 1380
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Music_Player.cpp", "C++", 270, 0, 0, 1, 27, 298
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Oscilloscope.cpp", "C++", 526, 0, 0, 54, 40, 620
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Paint.cpp", "C++", 46, 0, 0, 23, 10, 79
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Periodic.cpp", "C++", 215, 0, 0, 17, 45, 277
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Piano.cpp", "C++", 136, 0, 0, 10, 29, 175
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Picture_Viewer.cpp", "C++", 164, 0, 0, 7, 17, 188
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Pong.cpp", "C++", 1, 0, 0, 0, 0, 1
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Shell.cpp", "C++", 1861, 0, 0, 66, 176, 2103
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Simon.cpp", "C++", 235, 0, 0, 4, 17, 256
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Software_Template.cpp", "C++", 1, 0, 0, 10, 3, 14
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Text_Editor.cpp", "C++", 186, 0, 0, 1, 11, 198
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\Tiny_Basic.cpp", "C++", 2059, 0, 0, 317, 343, 2719
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Software\calculator.cpp", "C++", 1358, 0, 0, 32, 184, 1574
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\src\Xila.cpp", "C++", 2, 0, 0, 0, 2, 4
"c:\Users\alixa\github\Xila\Code\Operating_System\Espressif_32\test\Regular\Regular.cpp", "C++", 10, 0, 0, 0, 3, 13
"Total", "-", 14697, 17, 439, 1938, 2504, 19595
