"filename", "language", "C++", "Ini", "Markdown", "comment", "blank", "total"
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Core\Virtual Memory.cpp", "C++", 0, 0, 0, 372, 2, 374
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Driver\Battery.cpp", "C++", 22, 0, 0, 20, 6, 48
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Driver\Display.cpp", "C++", 842, 0, 0, 23, 84, 949
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Driver\Keyboard.cpp", "C++", 541, 0, 0, 60, 33, 634
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Driver\Sound.cpp", "C++", 425, 0, 0, 109, 76, 610
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Main.cpp", "C++", 9, 0, 0, 12, 9, 30
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Clock.cpp", "C++", 663, 0, 0, 2, 40, 705
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Internet_Browser.cpp", "C++", 1147, 0, 0, 74, 154, 1375
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Music_Player.cpp", "C++", 270, 0, 0, 1, 27, 298
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Oscilloscope.cpp", "C++", 526, 0, 0, 54, 40, 620
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Paint.cpp", "C++", 46, 0, 0, 23, 10, 79
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Periodic.cpp", "C++", 215, 0, 0, 17, 45, 277
"c:\Users\alixa\github\Xila Embedded\Code\Operating_System\Espressif 32\src\Software\Piano.cpp", "C++", 136, 0, 0, 10, 29, 175
